Serial #,Researcher Name,Adm. No,Date,Place,Gender,Age Group,Education,Role (Owner/Emp),Ownership_Category,Employee_Size,Years_Operated,retail_services,Informal_Sector,Accomodation_Catering,PTF_Services,Education_Institution,Health,Entertainment,Transport,Storage,Communications,AFN_Activities,Industrial_Factories,High_cost,Taxes,Acces_finance,Access_premises,Infrastructure_gaps,Sanitation,Competition,Other Issues
1,Bravin,B15/7604/2023,2/11/2026,Lower Marindi,Male,18 - 25 Yrs,Secondary,Owner,Partnership,1-5 employees,6-10 yrs,N/A,Welding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,2,N/A,3,N/A
2,Bravin,B15/7604/2023,2/11/2026,Lower Marindi,Female,36 - 45 Yrs,No Formal Education,Owner,Sole Proprietor,1-5 employees,1-5 yrs,Hardware,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,N/A,N/A,N/A,3,N/A,N/A
3,Bravin,B15/7604/2023,2/11/2026,Lower Marindi,Female,36 - 45 Yrs,No Formal Education,Owner,Sole Proprietor,1-5 employees,1-5 yrs,Hardware,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,1,N/A,N/A,3,N/A,N/A
1,Cornel,B15/6451/2021,11/2/2021,Lower Marindi,Female,36 - 45 Yrs,Secondary,Employee,Partnership,1-5 employees,More than 10 yrs,Boutique/Exhibition,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,N/A,N/A,2,N/A,N/A
2,Cornel,B15/6451/2021,11/2/2021,Lower Marindi,Female,26 - 35 Yrs,College,Employee,Partnership,1-5 employees,1-5 yrs,None,None,Hotels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,1,3,N/A
3,Cornel,B15/6451/2021,11/3/2021,Lower Marindi,Male,26 - 35 Yrs,Secondary,Owner,Sole Proprietor,6-10 employees,1-5 yrs,Wines and Spirits,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,N/A,N/A,2,N/A,N/A
1,Stephen M,B15/6404/2021,11/2/2026,Wasweta 1,Female,Above  55 Yrs,No Formal Education,Owner,Sole Proprietor,1-5 employees,1-5 yrs,Retail Shop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Stephen M,B15/6404/2021,11/2/2026,Wasweta 1,Female,36 - 45 Yrs,Secondary,Owner,Sole Proprietor,1-5 employees,1-5 yrs,Wholesale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A
3,Stephen M,B15/6404/2021,11/2/2026,Wasweta 1,Male,26 - 35 Yrs,College,Employee,Sole Proprietor,1-5 employees,1-5 yrs,Hardware,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A
1,Rita,B15/7610/2023,11/2/2026,Lower Marindi,Male,26 - 35 Yrs,Primary,Employee,Partnership,1-5 employees,1-5 yrs,Hardware,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A,2(depts)
2,Rita,B15/7610/2023,11/2/2026,Lower Marindi,Female,36 - 45 Yrs,Secondary,Employee,Sole Proprietor,1-5 employees,1-5 yrs,N/A,N/A,Hotels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,N/A,N/A,N/A,2,N/A,N/A
3,Rita,B15/7610/2023,11/2/2926,Lower Marindi,Female,46 - 55 Yrs,Primary,Owner,Sole Proprietor,1-5 employees,6-10 yrs,Retail Shop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,1,3,N/A
1,CarlPhilips,B15/5443/2022,2/12/2026,Wasweta 1,Male,46 - 55 Yrs,Secondary,Owner,Sole Proprietor,1-5 employees,1-5 yrs,Retail Shop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,N/A,N/A,N/A,1,N/A,N/A
2,CarlPhilips,B15/5443/2022,2/12/2026,Wasweta 1,Female,26 - 35 Yrs,Primary,Owner,Sole Proprietor,1-5 employees,1-5 yrs,Retail Shop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,2,N/A,3,N/A,N/A
3,CarlPhilips,B15/5443/2022,2/12/2026,Wasweta 1,Male,18 - 25 Yrs,College,Employee,N/A,1-5 employees,Less than  1 yr,Butchery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,N/A,1,N/A
1,Tesla,B15/7619/2023,11/2/2026,Lower Marindi,Female,26 - 35 Yrs,College,Owner,Sole Proprietor,1-5 employees,1-5 yrs,Chemist/Agrovet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,3,N/A
2,Tesla,B15/7619/2023,11/2/2026,Lower Marindi,Female,26 - 35 Yrs,Secondary,Employee,N/A,1-5 employees,Less than  1 yr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Process & Assembly of products,1,N/A,N/A,N/A,N/A,N/A,2,Haggling customers
3,Tesla,B15/7619/2023,11/2/2026,Lower Marindi,Female,36 - 45 Yrs,University,Employee,N/A,6-10 employees,6-10 yrs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Garage & Spare Parts,N/A,N/A,N/A,N/A,2,1,N/A,3,N/A,N/A,N/A,N/A
1,Fred,B15/6212/2020,2/11/2026,Wasweta 1,Female,18 - 25 Yrs,College,Employee,Sole Proprietor,Above 10,1-5 yrs,Retail Shop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,N/A,N/A,N/A,N/A,1,N/A
2,Fred,B15/6212/2020,2/11/2026,Wasweta 1,Female,46 - 55 Yrs,College,Owner,Sole Proprietor,1-5 employees,Less than  1 yr,N/A,N/A,Hotels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A,2,N/A
3,Fred,B15/6212/2020,2/11/2026,Wasweta 1,Male,26 - 35 Yrs,College,Employee,Sole Proprietor,1-5 employees,1-5 yrs,N/A,N/A,N/A,Barber/ Salon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,3,N/A,N/A
1,Tonny,B15/7600/2023,11/2/2026,Lower Marindi,Male,26 - 35 Yrs,Secondary,Owner,Sole Proprietor,1-5 employees,6-10 yrs,Electronics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,Insecurity
2,Tonny,B15/7600/2023,11/2/2026,Lower Marindi,Female,18 - 25 Yrs,College,Owner,Partnership,1-5 employees,Less than  1 yr,Boutique/Exhibition,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,3,2,N/A,N/A,N/A,N/A
3,Tonny,B15/7600/2023,11/2/2026,Lower Marindi,Female,26 - 35 Yrs,Secondary,Owner,Sole Proprietor,1-5 employees,Less than  1 yr,N/A,N/A,Wines & Spirits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,N/A,N/A,N/A,N/A,N/A
1,Stephen K,B15/5530/2019,11/2/2026,Wasweta 1,Male,36 - 45 Yrs,University,Employee,Sole Proprietor,1-5 employees,1-5 yrs,Retail Shop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,N/A,N/A,N/A,1,N/A
2,Stephen K,B15/5530/2019,11/2/2026,Wasweta 1,Female,26 - 35 Yrs,Secondary,Owner,Sole Proprietor,1-5 employees,1-5 yrs,Grocery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,2,N/A,3,N/A,N/A,N/A
3,Stephen K,B15/5530/2019,11/2/2026,Wasweta 1,Female,36 - 45 Yrs,College,Employee,Sole Proprietor,1-5 employees,More than 10 yrs,Chemist/Agrovet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,N/A,3,N/A,N/A,N/A,N/A
1,Kelvin  Kimanzi,B15/7612/2023,11/2/2026,Wasweta 1,Female,26 - 35 Yrs,Secondary,Owner,Sole Proprietor,1-5 employees,1-5 yrs,Grocery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,2,N/A,3,N/A,N/A,N/A
2,Kelvin  Kimanzi,B15/7612/202311/2/2023,11/2/2026,Wasweta 1,Female,46 - 55 Yrs,College,Employee,Sole Proprietor,1-5 employees,More than 10 yrs,Chemist/Agrovet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,N/A,3,N/A,N/A,N/A,N/A
3,Kelvin  Kimanzi,B15/7612/2023,11/2/2026,Wasweta 1,Male,36 - 45 Yrs,University,Employee,Sole Proprietor,6-10 employees,1-5 yrs,Retail Shop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,N/A,N/A,N/A,1,N/A
1,Melvin,B15/7606/2023,2/11/2026,Wasweta 1,Female,18 - 25 Yrs,College,Employee,N/A,1-5 employees,1-5 yrs,Chemist/Agrovet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A
2,Melvin,B15/7606/2023,2/11/2026,Wasweta 1,Male,26 - 35 Yrs,Secondary,Owner,Sole Proprietor,1-5 employees,1-5 yrs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Motor cycle,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,3,N/A,1,N/A
3,Melvin,B15/7606/2023,2/11/2026,Wasweta 1,Female,26 - 35 Yrs,College,Owner,Sole Proprietor,1-5 employees,1-5 yrs,Boutique/Exhibition,N/A,N/A,Mobile money (MPESA services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,N/A,N/A
1,Margaret,B15/7594/2023,11/2/2026,Wasweta 1,Female,26 - 35 Yrs,Secondary,Employee,N/A,1-5 employees,6-10 yrs,N/A,Soda/ Sweets/ Cigarettes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,1,N/A
2,Margaret,B15/7594/2023,11/2/2026,Wasweta 1,Female,18 - 25 Yrs,Secondary,Employee,N/A,1-5 employees,1-5 yrs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Garage & Spare Parts,N/A,N/A,N/A,N/A,2,3,N/A,N/A,N/A,N/A,1,N/A
3,Margaret,B15/7594/2023,11/2/2026,Wasweta 1,Male,18 - 25 Yrs,Secondary,Employee,N/A,1-5 employees,Less than  1 yr,Electronics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,N/A,N/A,N/A,N/A,1,N/A
1,Wainaina,B15/6407/20,11/2/2026,Wasweta 1,Male,46 - 55 Yrs,Secondary,Employee,N/A,Above 10,6-10 yrs,Hardware,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A,2,N/A
2,Wainaina,B15/6407/20,11/2/2026,Wasweta 1,Female,18 - 25 Yrs,Secondary,Employee,N/A,1-5 employees,More than 10 yrs,Boutique/Exhibition,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,N/A,N/A,N/A,1,N/A,N/A
3,Wainaina,B15/6407/20,11/2/2026,Wasweta 1,Male,26 - 35 Yrs,College,Owner,Sole Proprietor,1-5 employees,6-10 yrs,N/A,N/A,N/A,Barber/ Salon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,N/A,N/A,N/A,N/A,N/A
